Date,Open,High,Low,Close,Adj Close,Volume
2024-04-04,5244.049805,5256.589844,5146.060059,5147.209961,5147.209961,4075680000
2024-04-05,5158.950195,5222.180176,5157.209961,5204.339844,5204.339844,3386780000
2024-04-08,5211.370117,5219.569824,5197.350098,5202.390137,5202.390137,3278180000
2024-04-09,5217.029785,5224.810059,5160.779785,5209.910156,5209.910156,3400680000
2024-04-10,5167.879883,5178.430176,5138.700195,5160.640137,5160.640137,3845930000
2024-04-11,5172.950195,5211.779785,5138.770020,5199.060059,5199.060059,3509380000
2024-04-12,5171.509766,5175.029785,5107.939941,5123.410156,5123.410156,3963220000
2024-04-15,5149.669922,5168.430176,5052.470215,5061.819824,5061.819824,3950210000
2024-04-16,5064.589844,5079.839844,5039.830078,5051.410156,5051.410156,4006200000
2024-04-17,5068.970215,5077.959961,5007.250000,5022.209961,5022.209961,3596130000
2024-04-18,5031.520020,5056.660156,5001.890137,5011.120117,5011.120117,3619760000
2024-04-19,5005.439941,5019.020020,4953.560059,4967.229980,4967.229980,3878750000
2024-04-22,4987.330078,5038.839844,4969.399902,5010.600098,5010.600098,3820250000
2024-04-23,5028.850098,5076.120117,5027.959961,5070.549805,5070.549805,3751400000
2024-04-24,5084.859863,5089.479980,5047.020020,5071.629883,5071.629883,3656740000
2024-04-25,5019.879883,5057.750000,4990.580078,5048.419922,5048.419922,3958050000
2024-04-26,5084.649902,5114.620117,5073.140137,5099.959961,5099.959961,3604140000
2024-04-29,5114.129883,5123.490234,5088.649902,5116.169922,5116.169922,3447450000
2024-04-30,5103.779785,5110.830078,5035.310059,5035.689941,5035.689941,4082470000
2024-05-01,5029.029785,5096.120117,5013.450195,5018.390137,5018.390137,4544170000
2024-05-02,5049.319824,5073.209961,5011.049805,5064.200195,5064.200195,4381660000
2024-05-03,5122.779785,5139.120117,5101.220215,5127.790039,5127.790039,3924990000
2024-05-06,5142.419922,5181.000000,5142.419922,5180.740234,5180.740234,3683250000
2024-05-07,5187.200195,5200.229980,5178.959961,5187.700195,5187.700195,3987890000
2024-05-08,5168.979980,5191.950195,5165.859863,5187.669922,5187.669922,3842100000
2024-05-09,5189.029785,5215.299805,5180.410156,5214.080078,5214.080078,3727370000
2024-05-10,5225.490234,5239.660156,5209.680176,5222.680176,5222.680176,3617900000
2024-05-13,5233.080078,5237.259766,5211.160156,5221.419922,5221.419922,4255710000
2024-05-14,5221.100098,5250.370117,5217.979980,5246.680176,5246.680176,4763580000
2024-05-15,5263.259766,5311.759766,5263.259766,5308.149902,5308.149902,4360810000
2024-05-16,5310.069824,5325.490234,5296.189941,5297.100098,5297.100098,3817470000
2024-05-17,5303.100098,5305.450195,5283.589844,5303.270020,5303.270020,3578120000
2024-05-20,5305.350098,5325.319824,5302.399902,5308.129883,5308.129883,3420100000
2024-05-21,5298.689941,5324.319824,5297.870117,5321.410156,5321.410156,3662240000
2024-05-22,5319.279785,5323.180176,5286.009766,5307.009766,5307.009766,3847130000
2024-05-23,5340.259766,5341.879883,5256.930176,5267.839844,5267.839844,3869520000
2024-05-24,5281.450195,5311.649902,5278.390137,5304.720215,5304.720215,3005510000
2024-05-28,5315.910156,5315.910156,5280.890137,5306.040039,5306.040039,3751540000
2024-05-29,5278.729980,5282.270020,5262.700195,5266.950195,5266.950195,3552750000
2024-05-30,5259.770020,5260.209961,5222.100098,5235.479980,5235.479980,3818750000
2024-05-31,5243.209961,5280.330078,5191.680176,5277.509766,5277.509766,5437160000
2024-06-03,5297.149902,5302.109863,5234.319824,5283.399902,5283.399902,4046920000
2024-06-04,5278.240234,5298.799805,5257.629883,5291.339844,5291.339844,3707900000
2024-06-05,5314.479980,5354.160156,5297.640137,5354.029785,5354.029785,3591460000
2024-06-06,5357.799805,5362.350098,5335.359863,5352.959961,5352.959961,3609990000
2024-06-07,5343.810059,5375.080078,5331.330078,5346.990234,5346.990234,3692760000
2024-06-10,5341.220215,5365.790039,5331.520020,5360.790039,5360.790039,3622280000
2024-06-11,5353.000000,5375.950195,5327.250000,5375.319824,5375.319824,3568030000
2024-06-12,5409.129883,5447.250000,5409.129883,5421.029785,5421.029785,3962840000
2024-06-13,5441.930176,5441.930176,5402.509766,5433.740234,5433.740234,3530380000
2024-06-14,5424.080078,5432.390137,5403.750000,5431.600098,5431.600098,3438650000
2024-06-17,5431.109863,5488.500000,5420.399902,5473.229980,5473.229980,3447840000
2024-06-18,5476.149902,5490.379883,5471.319824,5487.029785,5487.029785,3544330000
2024-06-20,5499.990234,5505.529785,5455.560059,5473.169922,5473.169922,3847060000
2024-06-21,5466.770020,5478.310059,5452.029785,5464.620117,5464.620117,6773800000
2024-06-24,5459.580078,5490.660156,5447.589844,5447.870117,5447.870117,3696750000
2024-06-25,5460.729980,5472.879883,5446.560059,5469.299805,5469.299805,3591960000
2024-06-26,5460.709961,5483.140137,5451.870117,5477.899902,5477.899902,3563920000
2024-06-27,5473.589844,5490.810059,5467.540039,5482.870117,5482.870117,3589530000
2024-06-28,5488.479980,5523.640137,5451.120117,5460.479980,5460.479980,7199220000
2024-07-01,5471.080078,5479.549805,5446.529785,5475.089844,5475.089844,3488760000
2024-07-02,5461.839844,5509.689941,5458.430176,5509.009766,5509.009766,3329950000
2024-07-03,5507.439941,5539.270020,5507.419922,5537.020020,5537.020020,2179470000
